iter	RMSE
0	21081.6837
1	20260.6538
2	19548.73426
3	18955.46563
4	18394.23442
5	17936.66932
6	17572.56336
7	17221.08429
8	16897.77349
9	16653.77907
10	16441.51951
11	16231.14785
12	15995.89402
13	15784.67254
14	15615.46153
15	15506.84329
16	15389.98999
17	15241.19001
18	15123.34602
19	15033.99655
20	14902.39523
21	14802.73075
22	14686.40964
23	14626.32315
24	14565.7214
25	14466.37941
26	14347.46583
27	14304.97863
28	14163.89579
29	14112.8312
30	14040.95018
31	13992.14114
32	13909.27598
33	13846.69433
34	13796.34282
35	13715.08564
36	13683.81744
37	13642.67869
38	13575.93581
39	13509.57107
40	13451.1098
41	13427.36583
42	13349.46202
43	13290.7227
44	13250.27487
45	13197.35238
46	13129.52718
47	13088.0517
48	13057.46289
49	13010.808
50	13006.0761
51	12965.51653
52	12892.49028
53	12835.29297
54	12784.92792
55	12764.54397
56	12716.30975
57	12683.13878
58	12654.23292
59	12639.58294
60	12600.2217
61	12555.67221
62	12514.32902
63	12465.91944
64	12443.2521
65	12409.66245
66	12372.12932
67	12317.17374
68	12292.74703
69	12264.94917
70	12246.30524
71	12230.04585
72	12209.84378
73	12198.11425
74	12175.42147
75	12158.65089
76	12122.66955
77	12111.31014
78	12079.24246
79	12067.6854
80	12040.79054
81	12018.40899
82	11966.39603
83	11921.2008
84	11880.76891
85	11855.5155
86	11824.05851
87	11794.01536
88	11756.88976
89	11736.5685
90	11733.50499
91	11681.21747
92	11622.69866
93	11591.72368
94	11561.83763
95	11507.93625
96	11493.92018
97	11466.96469
98	11441.30145
99	11406.22366
