iter	Passed	Remaining
0	148	14695
1	153	7523
2	158	5137
3	164	3942
4	169	3213
5	174	2732
6	178	2377
7	184	2118
8	188	1905
9	192	1731
10	196	1591
11	200	1471
12	205	1375
13	210	1293
14	214	1215
15	217	1143
16	220	1077
17	223	1019
18	227	967
19	229	916
20	231	871
21	234	830
22	236	792
23	238	756
24	241	725
25	243	693
26	245	663
27	247	637
28	250	612
29	251	587
30	253	564
31	255	543
32	257	523
33	259	503
34	260	484
35	262	466
36	263	449
37	265	432
38	266	417
39	268	402
40	269	387
41	270	373
42	271	360
43	273	347
44	274	335
45	275	323
46	277	312
47	278	301
48	280	291
49	281	281
50	282	271
51	283	261
52	285	252
53	286	244
54	288	235
55	289	227
56	291	219
57	292	211
58	293	204
59	295	196
60	296	189
61	297	182
62	299	175
63	300	168
64	301	162
65	303	156
66	304	150
67	306	144
68	307	138
69	309	132
70	310	126
71	312	121
72	313	116
73	315	110
74	316	105
75	318	100
76	320	95
77	321	90
78	323	85
79	325	81
80	326	76
81	328	72
82	329	67
83	331	63
84	332	58
85	334	54
86	335	50
87	337	45
88	338	41
89	340	37
90	340	33
91	341	29
92	343	25
93	344	22
94	346	18
95	347	14
96	349	10
97	350	7
98	352	3
99	353	0
